E1,E2,E3,E4,E5
-186,207,-236,-14,-185
-201,205,-235,-14,-187
-214,200,-234,-14,-190
-222,196,-233,-14,-191
-224,191,-234,-16,-192
-222,186,-235,-20,-191
-219,180,-239,-27,-192
-219,173,-246,-34,-192
-222,165,-253,-41,-192
-227,160,-260,-46,-189
-230,157,-265,-48,-182
-232,158,-267,-48,-172
-231,160,-267,-46,-163
-229,161,-266,-46,-157
-226,160,-267,-46,-155
-222,158,-271,-47,-159
-217,155,-277,-48,-165
-210,153,-284,-48,-170
-205,152,-291,-47,-173
-206,151,-297,-47,-173
-213,148,-300,-47,-170
-225,144,-301,-47,-165
-239,140,-300,-47,-160
-247,137,-299,-45,-157
-249,135,-300,-43,-155
-244,134,-304,-42,-154
-238,133,-310,-42,-153
-234,132,-316,-44,-151
-234,128,-320,-47,-148
-235,122,-321,-48,-143
-235,116,-317,-47,-137
-230,110,-311,-44,-131
-223,107,-306,-39,-125
-218,106,-302,-34,-119
-223,107,-301,-29,-115
-238,107,-303,-26,-112
-260,104,-307,-25,-109
-280,100,-313,-25,-107
-289,94,-318,-26,-105
-281,90,-322,-28,-101
-263,88,-325,-30,-96
-245,89,-326,-32,-91
-240,89,-329,-34,-91
-254,86,-333,-40,-96
-284,80,-340,-48,-107
-316,70,-349,-59,-120
-337,61,-358,-71,-130
-339,54,-365,-80,-133
-323,51,-369,-84,-127
-299,48,-371,-83,-117
-279,43,-373,-81,-109
-271,32,-377,-80,-107
-277,18,-384,-81,-112
-294,2,-395,-86,-123
-316,-10,-408,-93,-135
-341,-16,-422,-100,-143
-366,-17,-434,-105,-148
-389,-15,-445,-109,-149
-409,-15,-454,-112,-148
-421,-19,-460,-115,-148
-424,-25,-463,-118,-149
-420,-32,-463,-120,-150
-415,-35,-461,-122,-152
-414,-36,-458,-123,-152
-421,-36,-455,-125,-150
-432,-37,-452,-126,-148
-446,-41,-450,-127,-145
-458,-47,-448,-128,-144
-467,-54,-446,-129,-144
-474,-59,-444,-131,-145
-478,-62,-442,-135,-145
-479,-62,-440,-139,-142
-476,-62,-437,-142,-137
-469,-60,-432,-142,-131
-463,-59,-426,-138,-125
-462,-56,-421,-131,-121
-466,-53,-418,-124,-119
-472,-51,-419,-120,-117
-474,-50,-423,-120,-114
-469,-52,-429,-124,-111
-458,-56,-434,-129,-108
-449,-61,-434,-132,-107
-449,-65,-431,-132,-107
-457,-68,-425,-131,-110
-470,-70,-420,-130,-113
-479,-73,-418,-131,-116
-479,-76,-419,-132,-118
-471,-78,-423,-134,-121
-460,-79,-425,-134,-124
-456,-77,-424,-132,-127
-459,-75,-419,-128,-130
-468,-75,-412,-125,-132
-476,-81,-407,-123,-134
-476,-90,-405,-125,-136
-470,-98,-407,-130,-138
-463,-101,-411,-137,-141
-461,-98,-414,-144,-145
-467,-89,-413,-150,-147
-481,-80,-408,-155,-149
-495,-76,-401,-159,-151
-502,-79,-396,-165,-153
-500,-87,-394,-172,-157
-488,-95,-398,-180,-163
-473,-99,-404,-187,-170
-459,-98,-410,-194,-177
-451,-95,-413,-199,-185
-451,-94,-412,-203,-191
-456,-97,-407,-207,-196
-464,-104,-402,-210,-199
-470,-111,-398,-212,-201
-475,-116,-397,-214,-203
-477,-117,-397,-216,-205
-477,-114,-397,-220,-208
-474,-109,-396,-225,-214
